_id,tweet_id
5ee8aa5041cd8435406afff2,1225484356073984010
5ee8aa7041cd8435406b0386,1225484695984594951
5ee8aa7841cd8435406b0437,1225484758244823040
5ee8aa7c41cd8435406b04b4,1225484809386037249
5ee8aab741cd8435406b0acd,1225485374769811456
5ee8aae441cd8435406b0fb3,1225485824827052035
5ee8ab0b41cd8435406b13de,1225486204621197313
5ee8ab0c41cd8435406b13e5,1225486207272001538
5ee8ab3c41cd8435406b1886,1225486663406817283
5ee8ab5c41cd8435406b1bf1,1225486970207510529
5ee8abb441cd8435406b24bd,1225487802089066496
5ee8abf041cd8435406b2aea,1225488418001608711
5ee8abfd41cd8435406b2c4a,1225488546263453703
5ee8ac5d41cd8435406b366a,1225489547854798850
5ee8ac6941cd8435406b3781,1225489651089182721
5ee8ac6f41cd8435406b382f,1225489708928684033
5ee8aca441cd8435406b3daf,1225490229701890055
5ee8aca841cd8435406b3e16,1225490271351246848
5ee8ad1241cd8435406b4901,1225491330937368576
5ee8ad3141cd8435406b4c32,1225491653709922304
5ee8ad4941cd8435406b4ea9,1225491880676405256
5ee8ad6d41cd8435406b525f,1225492283694419968
5ee8ad6f41cd8435406b5281,1225492293609717760
5ee8ad7541cd8435406b5328,1225492353273733129
5ee8adc141cd8435406b5ad1,1225493111104843779
5ee8adce41cd8435406b5c2d,1225493242474565632
5ee8ade541cd8435406b5e8f,1225493482359394304
5ee8adf741cd8435406b6053,1225493664442585090
5ee8ae0641cd8435406b61ef,1225493824073555968
5ee8ae1741cd8435406b6389,1225493995591290890
5ee8ae4641cd8435406b687b,1225494450601910272
5ee8ae5441cd8435406b6a04,1225494586312794114
5ee8ae7541cd8435406b6d79,1225494936839168000
5ee8ae8041cd8435406b6e9e,1225495045735882752
5ee8ae9441cd8435406b70d2,1225495264783413250
5ee8aea441cd8435406b728d,1225495446598098946
5ee8aec041cd8435406b7567,1225495738844618753
5ee8aed741cd8435406b77de,1225495993384407043
5ee8aee641cd8435406b7983,1225496185298989059
5ee8aef441cd8435406b7aec,1225496350340665349
5ee8aefc41cd8435406b7bd4,1225496452081897475
5ee8af0941cd8435406b7d3e,1225496610349756416
5ee8af1141cd8435406b7e2a,1225496689500446720
5ee8af2a41cd8435406b80d5,1225496971114405890
5ee8af8841cd8435406b8ade,1225497993245286405
5ee8af9541cd8435406b8c32,1225498129186906112
5ee8af9a41cd8435406b8cc0,1225498175294885889
5ee8afdd41cd8435406b93ec,1225498946044399617
5ee8afe941cd8435406b9508,1225499055851216896
5ee8affc41cd8435406b9718,1225499279520935938
5ee8b06041cd8435406ba1c7,1225500468429967360
5ee8b0bd41cd8435406baba3,1225501576829206531
5ee8b0c741cd8435406bacb0,1225501695632867328
5ee8b0ec41cd8435406bb0c5,1225502141034455045
5ee8b11d41cd8435406bb5b4,1225502647110787072
5ee8b11e41cd8435406bb5c4,1225502653473533953
5ee8b15c41cd8435406bbca0,1225503361316904961
5ee8b16941cd8435406bbdfc,1225503510579601411
5ee8b16d41cd8435406bbe7c,1225503562693795840
5ee8b18241cd8435406bc0b3,1225503786850029568
5ee8b19a41cd8435406bc375,1225504068518449152
5ee8b1d641cd8435406bca18,1225504798033817600
5ee8b22c41cd8435406bd371,1225505787252006916
5ee8b23441cd8435406bd46f,1225505890826145797
5ee8b24941cd8435406bd67d,1225506102311366656
5ee8b25041cd8435406bd741,1225506179180310529
5ee8b25641cd8435406bd7e6,1225506239792209923
5ee8b25a41cd8435406bd858,1225506285363384321
5ee8b25c41cd8435406bd882,1225506303931568130
5ee8b29141cd8435406bde74,1225506914739642369
5ee8b2a241cd8435406be04c,1225507099607695363
5ee8b2b141cd8435406be1fe,1225507268764016640
5ee8b2b441cd8435406be256,1225507309893320705
5ee8b2bd41cd8435406be35e,1225507414545510401
5ee8b2d341cd8435406be543,1225507640035467264
5ee8b30d41cd8435406beb73,1225508301619769344
5ee8b33941cd8435406befdf,1225508805007548420
5ee8b33d41cd8435406bf05b,1225508855716683777
5ee8b36641cd8435406bf4b3,1225509305874599936
5ee8b38441cd8435406bf7ac,1225509609953210378
5ee8b39441cd8435406bf94b,1225509771949805574
5ee8b39741cd8435406bf9b8,1225509819693576193
5ee8b39a41cd8435406bf9fb,1225509852853739521
5ee8b3b841cd8435406bfd55,1225510237253373952
5ee8b3cb41cd8435406bff60,1225510486881509378
5ee8b3f041cd8435406c038e,1225510978181378049
5ee8b43f41cd8435406c0c11,1225512064980004871
5ee8b47841cd8435406c128b,1225512866926735366
5ee8b48541cd8435406c1401,1225513056257691658
5ee8b4ea41cd8435406c1f40,1225514373197783045
5ee8b4f041cd8435406c1fe5,1225514454265319426
5ee8b4f941cd8435406c20e3,1225514550847516676
5ee8b50541cd8435406c2253,1225514733949857794
5ee8b50c41cd8435406c2314,1225514815227138048
5ee8b51341cd8435406c23d0,1225514901415845890
5ee8b54a41cd8435406c29da,1225515615374512129
5ee8b55241cd8435406c2ab7,1225515723616931841
5ee8b55f41cd8435406c2c2b,1225515891221245952
5ee8b57741cd8435406c2eb2,1225516208306491392
5ee8b59c41cd8435406c32f6,1225516734586769408
5ee8b5c041cd8435406c371a,1225517205623889923
5ee8b5d141cd8435406c38e6,1225517424881143816
5ee8b5f041cd8435406c3c70,1225517868588072968
5ee8b5f741cd8435406c3d3e,1225517956597239808
5ee8b60241cd8435406c3e81,1225518096250757120
5ee8b62941cd8435406c431b,1225518648116289541
5ee8b64141cd8435406c45e4,1225518968556969984
5ee8b65841cd8435406c488d,1225519253698293770
5ee8b66641cd8435406c4a35,1225519440017723392
5ee8b66e41cd8435406c4b3c,1225519551993057281
5ee8b68b41cd8435406c4ea0,1225519978197200902
5ee8b69d41cd8435406c5096,1225520208531599361
5ee8b6a041cd8435406c50ed,1225520260205481984
5ee8b6ab41cd8435406c5244,1225520438459162629
5ee8b6b141cd8435406c52e5,1225520514787094534
5ee8b6c541cd8435406c5534,1225520777937727503
5ee8b6ca41cd8435406c55c0,1225520819708866560
5ee8b6ce41cd8435406c5629,1225520858069917697
